Day,sex,mean_height,std_height,mean_weight,std_weight
379,0,76.2822,2.3983123680000005,9.7514,1.066413104
380,0,76.3207,2.400286015,9.7588,1.0672223680000001
381,0,76.3591,2.402257286,9.7663,1.0681402309999999
382,0,76.3975,2.40346535,9.7738,1.069058244
383,0,76.4358,2.405434626,9.7812,1.069965468
384,0,76.4741,2.406639927,9.7886,1.070774954
385,0,76.5124,2.408610352,9.796,1.0716823999999998
386,0,76.5506,2.4098128880000003,9.8035,1.0726009349999999
387,0,76.5888,2.411781312,9.8109,1.073508678
388,0,76.6269,2.412981081,9.8183,1.074416569
389,0,76.665,2.4149475000000002,9.8257,1.075226351
390,0,76.703,2.41691153,9.833,1.07612352
391,0,76.741,2.4181089100000004,9.8404,1.0770317800000002
392,0,76.779,2.42007408,9.8478,1.077940188
393,0,76.8169,2.421268688,9.8551,1.078837797
394,0,76.8548,2.423231844,9.8625,1.0797465
395,0,76.8926,2.425192604,9.8699,1.0805566519999998
396,0,76.9304,2.426384816,9.8772,1.0814546280000001
397,0,76.9682,2.42834671,9.8845,1.0823527499999999
398,0,77.0059,2.429536145,9.8918,1.083251018
399,0,77.0435,2.4314928599999996,9.8992,1.084160384
400,0,77.0812,2.4334534839999997,9.9065,1.0850589449999999
401,0,77.1187,2.4346373590000003,9.9138,1.085957652
402,0,77.1563,2.436595954,9.9211,1.0867572939999999
403,0,77.1938,2.438552142,9.9284,1.08765622
404,0,77.2313,2.4397367670000003,9.9357,1.0885552920000001
405,0,77.2687,2.44169092,9.9429,1.089443553
406,0,77.306,2.4428696000000003,9.9502,1.090342916
407,0,77.3434,2.444824874,9.9575,1.0912424250000001
408,0,77.3807,2.4467777340000003,9.9647,1.0921311200000001
409,0,77.4179,2.4479539980000005,9.972,1.09303092
410,0,77.4551,2.449904813,9.9792,1.093820112
411,0,77.4923,2.451856372,9.9865,1.0947201299999998
412,0,77.5295,2.45303338,9.9937,1.0956093310000001
413,0,77.5665,2.454979725,10.0009,1.096498676
414,0,77.6036,2.456929976,10.0082,1.0973991300000001
415,0,77.6406,2.4581013960000004,10.0154,1.0982887639999999
416,0,77.6776,2.460049592,10.0226,1.0991785420000002
417,0,77.7145,2.46199536,10.0298,1.100068464
418,0,77.7514,2.463164352,10.037,1.10095853
419,0,77.7883,2.4651112270000004,10.0442,1.10184874
420,0,77.8251,2.46705567,10.0514,1.102739094
421,0,77.8618,2.46821906,10.0586,1.103529006
422,0,77.8986,2.4701646060000004,10.0657,1.1044086039999998
423,0,77.9353,2.472107716,10.0729,1.105299317
424,0,77.9719,2.4732686680000002,10.0801,1.106190174
425,0,78.0085,2.475209705,10.0872,1.1070702
426,0,78.0451,2.477151474,10.0944,1.107961344
427,0,78.0817,2.479093975,10.1015,1.108841655
428,0,78.1182,2.4802528500000003,10.1087,1.109733086
429,0,78.1546,2.4821900959999996,10.1158,1.110613682
430,0,78.1911,2.484131247,10.123,1.1115054
431,0,78.2275,2.4852876750000004,10.1301,1.112386281
432,0,78.2638,2.487223564,10.1372,1.113267304
433,0,78.3001,2.4891601789999998,10.1443,1.1141484689999999
434,0,78.3364,2.4910975200000003,10.1515,1.11504076
435,0,78.3727,2.49225186,10.1586,1.11592221
436,0,78.4089,2.494187109,10.1657,1.116803802
437,0,78.4451,2.496123082,10.1728,1.117685536
438,0,78.4812,2.4980565959999996,10.1799,1.118567412
439,0,78.5173,2.499205659,10.187,1.11944943
440,0,78.5534,2.501140256,10.1941,1.12033159
441,0,78.5894,2.5030723900000003,10.2011,1.121202901
442,0,78.6254,2.505005244,10.2082,1.122085344
443,0,78.6614,2.506152204,10.2153,1.1229679289999999
444,0,78.6973,2.508082951,10.2224,1.123850656
445,0,78.7332,2.5100144159999997,10.2294,1.12472253
446,0,78.7691,2.511946599,10.2365,1.12560554
447,0,78.8049,2.513088261,10.2435,1.126477695
448,0,78.8407,2.5150183299999997,10.2506,1.127360988
449,0,78.8764,2.5169459240000003,10.2576,1.128233424
450,0,78.9122,2.518877424,10.2647,1.129117
451,0,78.9479,2.5200169679999997,10.2717,1.129989717
452,0,78.9835,2.521943155,10.2788,1.1308735760000002
453,0,79.0191,2.523870054,10.2858,1.1317465740000001
454,0,79.0547,2.525797665,10.2928,1.13272264
455,0,79.0903,2.5277259880000003,10.2998,1.133595988
456,0,79.1258,2.5288605680000003,10.3069,1.1344804830000002
457,0,79.1613,2.530786761,10.3139,1.135354112
458,0,79.1968,2.532713664,10.3209,1.136227881
459,0,79.2322,2.534638078,10.3279,1.13710179
460,0,79.2676,2.5365632000000002,10.3349,1.1379758389999999
461,0,79.303,2.537696,10.3419,1.138850028
462,0,79.3383,2.539618983,10.3489,1.1397243570000002
463,0,79.3736,2.541542672,10.3559,1.140598826
464,0,79.4089,2.5434670670000004,10.3629,1.141473435
465,0,79.4441,2.5453889640000003,10.3699,1.1423481839999998
466,0,79.4793,2.546516772,10.3769,1.143223073
467,0,79.5145,2.548439725,10.3839,1.144201941
468,0,79.5496,2.550360176,10.3908,1.14506616
469,0,79.5847,2.552281329,10.3978,1.145941538
470,0,79.6198,2.554203184,10.4048,1.146817056
471,0,79.6548,2.556122532,10.4118,1.147692714
472,0,79.6898,2.557245682,10.4187,1.148557488
473,0,79.7248,2.55916608,10.4257,1.149433425
474,0,79.7598,2.5610871779999997,10.4326,1.1502984760000001
475,0,79.7947,2.5630057640000006,10.4396,1.151174692
476,0,79.8296,2.564925048,10.4465,1.152144485
477,0,79.8644,2.566841816,10.4535,1.15302105
478,0,79.8993,2.567963502,10.4604,1.1538867240000001
479,0,79.9341,2.569881315,10.4674,1.154763568
480,0,79.9688,2.571796608,10.4743,1.1556295189999999
481,0,80.0036,2.573715812,10.4813,1.1565066419999999
482,0,80.0383,2.575632494,10.4882,1.15737287
483,0,80.0729,2.5775466510000005,10.4951,1.158344187
484,0,80.1076,2.5794647200000003,10.502,1.1592107600000001
485,0,80.1422,2.58057884,10.509,1.16008851
486,0,80.1768,2.5824947280000004,10.5159,1.16095536
487,0,80.2113,2.584408086,10.5228,1.161822348
